;City;Country;Continent
0;New_Delhi;India;Asia
1;Mumbai;India;Asia
2;Tokyo;Japan;Asia
3;Beijing;China;Asia
4;Sao_Paulo;Brazil;South_America
5;Cairo;Egypt;Africa
6;Kinshasa;DR_Congo;Africa
7;Lagos;Nigeria;Africa
8;Johannesburg;South_Africa;Africa
9;Casablanca;Morocco;Africa
10;Das_es_Salaam;Tanzania;Africa
11;Abidjan;Ivory_Coast;Africa
12;Cape_Town;South_Africa;Africa
13;Nairobi;Kenya;Africa
14;Algiers;Algeria;Africa
15;Durban;South_Africa;Africa
16;Addis_Ababa;Ethiopia;Africa
17;Pretoria;South_Africa;Africa
18;Harare;Zimbabwe;Africa
19;Luanda;Angola;Africa
20;Accra;Ghana;Africa
21;Ouagadougou;Burkina_Faso;Africa
22;Tunis;Tunisia;Africa
23;Khartoum;Sudan;Africa
24;Paris;France;Europe
25;Moscow;Russia;Europe
26;London;United_Kingdom;Europe
27;Saint_Petersburg;Russia;Europe
28;Berlin;Germany;Europe
29;Madrid;Spain;Europe
30;Kiev;Ukraine;Europe
31;Rome;Italy;Europe
32;Bucharest;Romania;Europe
33;Salzburg;Austria;Europe
34;Vienna;Austria;Europe
35;Zurich;Switzerland;Europe
36;Geneva;Switzerland;Europe
37;Hamburg;Germany;Europe
38;Warsaw;Poland;Europe
39;Barcelona;Spain;Europe
40;Munich;Germany;Europe
41;Kharkiv;Ukraine;Europe
42;Milan;Italy;Europe
43;Belgrade;Serbia;Europe
44;Sofia;Bulgaria;Europe
45;Prague;Czech_Republic;Europe
46;Birmingham;United_Kingdom;Europe
47;Brussels;Belgium;Europe
48;Volgograd;Russia;Europe
49;Stockholm;Sweden;Europe
50;Naples;Italy;Europe
51;Marseille;France;Europe
52;Amsterdam;Netherlands;Europe
53;Athens;Greece;Europe
54;Glasgow;United_Kingdom;Europe
55;Copenhagen;Denmark;Europe
56;Dublin;Ireland;Europe
57;Lisbon;Portugal;Europe
58;Bangalore;India;Asia
59;Hyderabad;India;Asia
60;Chennai;India;Asia
61;Guangzhou;China;Asia
62;Shanghai;China;Asia
63;Chongqing;China;Asia
64;Jinan;China;Asia
65;Yokohama;Japan;Asia
66;Osaka;Japan;Asia
67;Kyoto;Japan;Asia
68;Ottawa;Canada;North_America
69;Vancouver;Canada;North_America
70;Toronto;Canada;North_America
71;Quebec;Canada;North_America
72;New_York;USA;North_America
73;Los_Angeles;USA;North_America
74;Chicago;USA;North_America
75;Houston;USA;North_America
76;San_Francisco;USA;North_America
77;Boston;USA;North_America
78;Washington;USA;North_America
79;Mexico_City;Mexico;North_America
80;Phoenix;USA;North_America
